emotion	scale	key	chord_name	weight
Delicate	Aeolian	D	Bbmaj7-C7-Dmaj7	0.25160270
Delicate	Aeolian	E minor	Em-C-G-D	0.04106981
Delicate	Aeolian	E minor	Em-D-C-D	0.06619869
Delicate	Aeolian	E minor	C-D-Em	0.05959789
Delicate	Aeolian	E minor	Em-Am-D-G	0.02979883
Delicate	Aeolian	E minor	Em-Bm-D-C	0.03714173
Delicate	Aeolian	D	D-C-Bb-C	0.06408787
Delicate	Aeolian	E minor	Em-Am-Bm	0.06318128
Delicate	Aeolian	E minor	Em-D-G-D	0.06274161
Delicate	Aeolian	E minor	C-G-D-Em	0.06498510
Delicate	Aeolian	E minor	Em-Am-Em-Bm	0.06559379
Delicate	Aeolian	E minor	Em-D-C	0.06557764
Delicate	Aeolian	E minor	Em-C-D	0.06436335
Delicate	Aeolian	E minor	Em-Bm-G-C	0.06405972
Delicate	Dorian	E minor	Em-G-A	1.00000000
Delicate	Harmonic minor	E minor	F#m7b5-B7-Em7	0.30473278
Delicate	Harmonic minor	E minor	Am6-Emaj7	0.31115272
Delicate	Harmonic minor	E minor	Am7-B7-Em7	0.30529262
Delicate	Harmonic minor	E minor	F#dim-B-Em	0.07882187
Delicate	Ionian	D	A7-Abm7b5-Gm7-F#m7	0.06146303
Delicate	Ionian	D	A7-F#m7	0.06125398
Delicate	Ionian	D	A7-Bm7	0.06261200
Delicate	Ionian	D	A7-Fmaj7	0.06066289
Delicate	Ionian	D	A7-Ebmaj7	0.06177602
Delicate	Ionian	D	A7-Bbmaj7	0.06088051
Delicate	Ionian	D	B7-Bbmaj7	0.06219945
Delicate	Ionian	D	Em7-A7-Dmaj7	0.06277348
Delicate	Ionian	D	Gm7-C7-Dmaj7	0.06301939
Delicate	Ionian	D	Gmaj7-Gm6-Dmaj7	0.06233711
Delicate	Ionian	D	Gmaj7-Dmaj7	0.06367068
Delicate	Ionian	D	Gmaj7-A7-Dmaj7	0.06252265
Delicate	Ionian	D	D-A-Bm-G	0.01498754
