emotion	scale	emotion_id	scale_id	prog_id	key	chord_name
Joyful	Ionian	3	3	34	A	Bm7-E7-Amaj7
Joyful	Ionian	3	3	34	Ab	Bbm7-Eb7-Abmaj7
Joyful	Ionian	3	3	34	B	Dbm7-F#7-Bmaj7
Joyful	Ionian	3	3	34	Bb	Cm7-F7-Bbmaj7
Joyful	Ionian	3	3	34	C	Dm7-G7-Cmaj7
Joyful	Ionian	3	3	34	D	Em7-A7-Dmaj7
Joyful	Ionian	3	3	34	Db	Ebm7-Ab7-Dbmaj7
Joyful	Ionian	3	3	34	E	F#m7-B7-Emaj7
Joyful	Ionian	3	3	34	Eb	Fm7-Bb7-Ebmaj7
Joyful	Ionian	3	3	34	F	Gm7-C7-Fmaj7
Joyful	Ionian	3	3	34	F#	Abm7-Db7-F#maj7
Joyful	Ionian	3	3	34	G	Am7-D7-Gmaj7
Despair	Harmonic minor	1	2	35	A minor	Bm7b5-E7-Am7
Despair	Harmonic minor	1	2	35	Ab minor	Bbm7b5-Eb7-Abm7
Despair	Harmonic minor	1	2	35	B minor	C#m7b5-F#7-Bm7
Despair	Harmonic minor	1	2	35	Bb minor	Cm7b5-F7-Bbm7
Despair	Harmonic minor	1	2	35	C minor	Dm7b5-G7-Cm7
Despair	Harmonic minor	1	2	35	C# minor	Ebm7b5-Ab7-C#m7
Despair	Harmonic minor	1	2	35	D minor	Em7b5-A7-Dm7
Despair	Harmonic minor	1	2	35	E minor	F#m7b5-B7-Em7
Despair	Harmonic minor	1	2	35	Eb minor	Fm7b5-Bb7-Ebm7
Despair	Harmonic minor	1	2	35	F minor	Gm7b5-C7-Fm7
Despair	Harmonic minor	1	2	35	F# minor	Abm7b5-C#7-F#m7
Despair	Harmonic minor	1	2	35	G minor	Am7b5-D7-Gm7
Depressive	Harmonic minor	0	2	41	A minor	Dm6-Amaj7
Depressive	Harmonic minor	0	2	41	Ab minor	C#m6-Abmaj7
Depressive	Harmonic minor	0	2	41	B minor	Em6-Bmaj7
Depressive	Harmonic minor	0	2	41	Bb minor	Ebm6-Bbmaj7
Depressive	Harmonic minor	0	2	41	C minor	Fm6-Cmaj7
Depressive	Harmonic minor	0	2	41	C# minor	F#m6-C#maj7
Depressive	Harmonic minor	0	2	41	D minor	Gm6-Dmaj7
Depressive	Harmonic minor	0	2	41	E minor	Am6-Emaj7
Depressive	Harmonic minor	0	2	41	Eb minor	Abm6-Ebmaj7
Depressive	Harmonic minor	0	2	41	F minor	Bbm6-Fmaj7
Depressive	Harmonic minor	0	2	41	F# minor	Bm6-F#maj7
Depressive	Harmonic minor	0	2	41	G minor	Cm6-Gmaj7
Depressive	Harmonic minor	0	2	42	A minor	Dm7-E7-Am7
Depressive	Harmonic minor	0	2	42	Ab minor	C#m7-Eb7-Abm7
Depressive	Harmonic minor	0	2	42	B minor	Em7-F#7-Bm7
Depressive	Harmonic minor	0	2	42	Bb minor	Ebm7-F7-Bbm7
Depressive	Harmonic minor	0	2	42	C minor	Fm7-G7-Cm7
Depressive	Harmonic minor	0	2	42	C# minor	F#m7-Ab7-C#m7
Depressive	Harmonic minor	0	2	42	D minor	Gm7-A7-Dm7
Depressive	Harmonic minor	0	2	42	E minor	Am7-B7-Em7
Depressive	Harmonic minor	0	2	42	Eb minor	Abm7-Bb7-Ebm7
Depressive	Harmonic minor	0	2	42	F minor	Bbm7-C7-Fm7
Depressive	Harmonic minor	0	2	42	F# minor	Bm7-C#7-F#m7
Depressive	Harmonic minor	0	2	42	G minor	Cm7-D7-Gm7
Joyful	Ionian	3	3	43	A	Dm7-G7-Amaj7
Joyful	Ionian	3	3	43	Ab	Dbm7-F#7-Abmaj7
Joyful	Ionian	3	3	43	B	Em7-A7-Bmaj7
Joyful	Ionian	3	3	43	Bb	Ebm7-Ab7-Bbmaj7
Joyful	Ionian	3	3	43	C	Fm7-Bb7-Cmaj7
Joyful	Ionian	3	3	43	D	Gm7-C7-Dmaj7
Joyful	Ionian	3	3	43	Db	F#m7-B7-Dbmaj7
Joyful	Ionian	3	3	43	E	Am7-D7-Emaj7
Joyful	Ionian	3	3	43	Eb	Abm7-Db7-Ebmaj7
Joyful	Ionian	3	3	43	F	Bbm7-Eb7-Fmaj7
Joyful	Ionian	3	3	43	F#	Bm7-E7-F#maj7
Joyful	Ionian	3	3	43	G	Cm7-F7-Gmaj7
Joyful	Ionian	3	3	44	A	Dmaj7-Dm6-Amaj7
Joyful	Ionian	3	3	44	Ab	Dbmaj7-Dbm6-Abmaj7
Joyful	Ionian	3	3	44	B	Emaj7-Em6-Bmaj7
Joyful	Ionian	3	3	44	Bb	Ebmaj7-Ebm6-Bbmaj7
Joyful	Ionian	3	3	44	C	Fmaj7-Fm6-Cmaj7
Joyful	Ionian	3	3	44	D	Gmaj7-Gm6-Dmaj7
Joyful	Ionian	3	3	44	Db	F#maj7-F#m6-Dbmaj7
Joyful	Ionian	3	3	44	E	Amaj7-Am6-Emaj7
Joyful	Ionian	3	3	44	Eb	Abmaj7-Abm6-Ebmaj7
Joyful	Ionian	3	3	44	F	Bbmaj7-Bbm6-Fmaj7
Joyful	Ionian	3	3	44	F#	Bmaj7-Bm6-F#maj7
Joyful	Ionian	3	3	44	G	Cmaj7-Cm6-Gmaj7
Joyful	Ionian	3	3	45	A	Dmaj7-Amaj7
Joyful	Ionian	3	3	45	Ab	Dbmaj7-Abmaj7
Joyful	Ionian	3	3	45	B	Emaj7-Bmaj7
Joyful	Ionian	3	3	45	Bb	Ebmaj7-Bbmaj7
Joyful	Ionian	3	3	45	C	Fmaj7-Cmaj7
Joyful	Ionian	3	3	45	D	Gmaj7-Dmaj7
Joyful	Ionian	3	3	45	Db	F#maj7-Dbmaj7
Joyful	Ionian	3	3	45	E	Amaj7-Emaj7
Joyful	Ionian	3	3	45	Eb	Abmaj7-Ebmaj7
Joyful	Ionian	3	3	45	F	Bbmaj7-Fmaj7
Joyful	Ionian	3	3	45	F#	Bmaj7-F#maj7
Joyful	Ionian	3	3	45	G	Cmaj7-Gmaj7
Vital	Ionian	5	3	46	A	Dmaj7-E7-Amaj7
Vital	Ionian	5	3	46	Ab	Dbmaj7-Eb7-Abmaj7
Vital	Ionian	5	3	46	B	Emaj7-F#7-Bmaj7
Vital	Ionian	5	3	46	Bb	Ebmaj7-F7-Bbmaj7
Vital	Ionian	5	3	46	C	Fmaj7-G7-Cmaj7
Vital	Ionian	5	3	46	D	Gmaj7-A7-Dmaj7
Vital	Ionian	5	3	46	Db	F#maj7-Ab7-Dbmaj7
Vital	Ionian	5	3	46	E	Amaj7-B7-Emaj7
Vital	Ionian	5	3	46	Eb	Abmaj7-Bb7-Ebmaj7
Vital	Ionian	5	3	46	F	Bbmaj7-C7-Fmaj7
Vital	Ionian	5	3	46	F#	Bmaj7-Db7-F#maj7
Vital	Ionian	5	3	46	G	Cmaj7-D7-Gmaj7
Despair	Harmonic minor	1	2	47	A	Bb7-Am7
Despair	Harmonic minor	1	2	47	Ab	A7-Abm7
Despair	Harmonic minor	1	2	47	B	C7-Bm7
Despair	Harmonic minor	1	2	47	Bb	B7-Bbm7
Despair	Harmonic minor	1	2	47	C	Db7-Cm7
Despair	Harmonic minor	1	2	47	D	Eb7-Dm7
Despair	Harmonic minor	1	2	47	Db	D7-Dbm7
Despair	Harmonic minor	1	2	47	E	F7-Em7
Despair	Harmonic minor	1	2	47	Eb	E7-Ebm7
Despair	Harmonic minor	1	2	47	F	F#7-Fm7
Despair	Harmonic minor	1	2	47	F#	G7-F#m7
Despair	Harmonic minor	1	2	47	G	Ab7-Gm7
Joyful	Ionian	3	3	48	A	Bb7-Amaj7
Joyful	Ionian	3	3	48	Ab	A7-Abmaj7
Joyful	Ionian	3	3	48	B	C7-Bmaj7
Joyful	Ionian	3	3	48	Bb	B7-Bbmaj7
Joyful	Ionian	3	3	48	C	Db7-Cmaj7
Joyful	Ionian	3	3	48	D	Eb7-Dmaj7
Joyful	Ionian	3	3	48	Db	D7-Dbmaj7
Joyful	Ionian	3	3	48	E	F7-Emaj7
Joyful	Ionian	3	3	48	Eb	E7-Ebmaj7
Joyful	Ionian	3	3	48	F	F#7-Fmaj7
Joyful	Ionian	3	3	48	F#	G7-F#maj7
Joyful	Ionian	3	3	48	G	Ab7-Gmaj7
Depressive	Ionian	0	3	49	A	C7-Fmaj7
Depressive	Ionian	0	3	49	Ab	B7-Emaj7
Depressive	Ionian	0	3	49	B	D7-Gmaj7
Depressive	Ionian	0	3	49	Bb	Db7-F#maj7
Depressive	Ionian	0	3	49	C	Eb7-Abmaj7
Depressive	Ionian	0	3	49	D	F7-Bbmaj7
Depressive	Ionian	0	3	49	Db	E7-Amaj7
Depressive	Ionian	0	3	49	E	G7-Cmaj7
Depressive	Ionian	0	3	49	Eb	F#7-Bmaj7
Depressive	Ionian	0	3	49	F	Ab7-Dbmaj7
Depressive	Ionian	0	3	49	F#	A7-Dmaj7
Depressive	Ionian	0	3	49	G	Bb7-Ebmaj7
Uneasiness	Ionian	4	3	50	A	F7-Bbmaj7
Uneasiness	Ionian	4	3	50	Ab	E7-Amaj7
Uneasiness	Ionian	4	3	50	B	G7-Cmaj7
Uneasiness	Ionian	4	3	50	Bb	F#7-Bmaj7
Uneasiness	Ionian	4	3	50	C	Ab7-Dbmaj7
Uneasiness	Ionian	4	3	50	D	Bb7-Ebmaj7
