Source,Chord_Progression,Emotion
Jazz,IIm7-V7-Imaj7,Joyful
Jazz,IIm7b5-V7-Im7,Despair
Jazz,IVm6-Imaj7,Depressive
Jazz,IVm7-V7-Im7,Depressive
Jazz,IVm7-bVII7-Imaj7,Joyful
Jazz,IVmaj7-IVm6-Imaj7,Joyful
Jazz,IVmaj7-Imaj7,Joyful
Jazz,IVmaj7-V7-Imaj7,Vital
Jazz,V7-#IVm7b5-IVm7-IIIm7,Uneasiness
Jazz,V7-IIIm7,Uneasiness
Jazz,V7-VIm7,Joyful
Jazz,V7-bIIImaj7,Uneasiness
Jazz,V7-bIImaj7,Uneasiness
Jazz,V7-bVIImaj7,Epic
Jazz,V7-bVImaj7,Depressive
Jazz,V7/II-bVImaj7,Depressive
Jazz,bVImaj7-bVII7-Imaj7,Epic
Pop,I-II-V-I,Joyful
Pop,I-III-IV-iv,Uneasiness
Pop,I-IV,Joyful
Pop,I-IV-I-V,Joyful
Pop,I-IV-V,Vital
Pop,I-IV-V-I,Joyful
Pop,I-IV-V-IV,Vital
Pop,I-IV-V-vi,Vital
Pop,I-IV-ii-V,Joyful
Pop,I-IV-iii-VI,Uneasiness
Pop,I-IV-iii-vi,Joyful
Pop,I-IV-vi-IV,Joyful
Pop,I-IV-vi-V,Joyful
Pop,I-IVsus-bVII-Vsus,Depressive
Pop,I-V-IV-I,Epic
Pop,I-V-iii-IV,Joyful
Pop,I-V-vi-IV,Joyful
Pop,I-V-vi-ii,Joyful
Pop,I-V-vi-iii,Joyful
Pop,I-bVII-IV,Epic
Pop,I-bVII-bVI-bVII,Depressive
Pop,I-ii-iii-IV,Joyful
Pop,I-iii-V-ii-IV,Uneasiness
Pop,I-v-bVII-IV,Depressive
Pop,I-vi-IV-V,Joyful
Pop,IV-I,Joyful
Pop,IV-I-V-vi,Vital
Pop,IV-V-I,Joyful
Pop,IV-iii-vi-II,Uneasiness
Pop,V-I-vi-IV,Epic
Pop,VI-III-VII-i,Depressive
Pop,VI-VII-i,Despair
Pop,VI-VII-v,Depressive
Pop,i-III-IV,Depressive
Pop,i-III-VII-VI,Despair
Pop,i-IV7,Despair
Pop,i-V-iv-i,Depressive
Pop,i-VI-III-VII,Depressive
Pop,i-VI-VII,Depressive
Pop,i-VII-III-VI,Despair
Pop,i-VII-III-VII,Depressive
Pop,i-VII-VI,Depressive
Pop,i-VII-VI-V,Depressive
Pop,i-VII-VI-VII,Depressive
Pop,i-VII-v-VI,Depressive
Pop,i-bII-VII-i,Uneasiness
Pop,i-iv-VI-VII,Despair
Pop,i-iv-VII,Depressive
Pop,i-iv-VII-III,Depressive
Pop,i-iv-i-v,Depressive
Pop,i-iv-v,Despair
Pop,i-v-III-VI,Depressive
Pop,i-v-III-VII,Depressive
Pop,i-v-VII-VI,Depressive
Pop,i-v-VII-v,Depressive
Pop,ii-V-I,Joyful
Pop,ii-iii-vi,Depressive
Pop,ii°-V-i,Despair
Pop,iv-bVII-I,Epic
Pop,vi-I-V-IV,Joyful
Pop,vi-II-V-I,Vital
Pop,vi-IV-I,Joyful
Pop,vi-IV-I-V,Joyful
Jazz,V7/III-bVIImaj7,Epic
Jazz,V7/V-bIImaj7,Uneasiness
Jazz,V7/VI-bIIImaj7,Uneasiness
Jazz,SubV7/II-bVImaj7,Depressive
Jazz,SubV7/V-bIImaj7,Uneasiness
Jazz,bVII7-bIIImaj7,Depressive
Jazz,SubV7-Imaj7,Joyful
Jazz,SubV7-Im7,Despair
